Calendar Year,Corporate Name,Revenue Type,Commodity,Revenues
2013,BRIDGER COAL CO,BLM - Permit Fees,Coal,320
2013,BRIDGER COAL CO,OSMRE - AML Fees including Audits and Late Charges ,Coal,858803.63
2013,BRONCO CREEK EXPLORATION INC,BLM - Permit Fees,Locatable Minerals,399414
2013,BROWER OIL AND GAS CO INC,ONRR - Other Revenues,Oil & Gas,376.03
2013,BROWER OIL AND GAS CO INC,ONRR - Royalties,Oil,232391.08
2013,BTA OIL PRODUCERS LLC,BLM - Permit Fees,Oil & Gas,52630
2013,BTA OIL PRODUCERS LLC,ONRR - Other Revenues,Oil & Gas,2674.23
2013,BTA OIL PRODUCERS LLC,ONRR - Royalties,Gas,208381.1
2013,BTA OIL PRODUCERS LLC,ONRR - Royalties,Oil,675361.31
2013,BTA OIL PRODUCERS LLC,ONRR/BLM - Rents,Oil & Gas,16805
2013,BUCKINGHAM COAL CO,OSMRE - AML Fees including Audits and Late Charges ,Coal,179969.63
2013,BULLOCK CORP,BLM - Permit Fees,Oil & Gas,600
2013,BULLOCK CORP,ONRR/BLM - Bonus,Oil & Gas,399245
